source,destination,size,time
csews1,csews2,1000,493
csews1,csews2,1000,401
csews1,csews2,1000,511
csews1,csews2,1000,441
csews1,csews2,1000,423
csews1,csews2,1000,693
csews1,csews2,1000,674
csews1,csews2,1000,529
csews1,csews2,1000,432
csews1,csews2,1000,652
csews1,csews2,100000,2977
csews1,csews2,100000,2703
csews1,csews2,100000,2909
csews1,csews2,100000,1543
csews1,csews2,100000,1384
csews1,csews2,100000,2927
csews1,csews2,100000,1385
csews1,csews2,100000,1674
csews1,csews2,100000,1390
csews1,csews2,100000,1390
csews1,csews2,1000000,11355
csews1,csews2,1000000,11695
csews1,csews2,1000000,12873
csews1,csews2,1000000,18613
csews1,csews2,1000000,12798
csews1,csews2,1000000,10271
csews1,csews2,1000000,15443
csews1,csews2,1000000,20517
csews1,csews2,1000000,15491
csews1,csews2,1000000,17327
csews1,csews2,8000000,86277
csews1,csews2,8000000,86812
csews1,csews2,8000000,86275
csews1,csews2,8000000,85978
csews1,csews2,8000000,87558
csews1,csews2,8000000,86683
csews1,csews2,8000000,97731
csews1,csews2,8000000,85606
csews1,csews2,8000000,86286
csews1,csews2,8000000,83246
