source,destination,size,time
csews13,csews14,1000,0.002570
csews13,csews14,1000,0.000303
csews13,csews14,1000,0.000322
csews13,csews14,1000,0.000319
csews13,csews14,1000,0.000350
csews13,csews14,1000,0.000346
csews13,csews14,1000,0.000606
csews13,csews14,1000,0.000322
csews13,csews14,1000,0.000316
csews13,csews14,1000,0.000385
csews13,csews14,100000,0.001567
csews13,csews14,100000,0.001613
csews13,csews14,100000,0.001610
csews13,csews14,100000,0.001626
csews13,csews14,100000,0.002582
csews13,csews14,100000,0.001520
csews13,csews14,100000,0.001900
csews13,csews14,100000,0.001949
csews13,csews14,100000,0.001859
csews13,csews14,100000,0.001888
csews13,csews14,1000000,0.010631
csews13,csews14,1000000,0.010297
csews13,csews14,1000000,0.010252
csews13,csews14,1000000,0.009580
csews13,csews14,1000000,0.011639
csews13,csews14,1000000,0.010187
csews13,csews14,1000000,0.010469
csews13,csews14,1000000,0.009788
csews13,csews14,1000000,0.010909
csews13,csews14,1000000,0.013631
csews13,csews14,8000000,0.077527
csews13,csews14,8000000,0.081756
csews13,csews14,8000000,0.087068
csews13,csews14,8000000,0.092189
csews13,csews14,8000000,0.074958
csews13,csews14,8000000,0.083350
csews13,csews14,8000000,0.085081
csews13,csews14,8000000,0.074649
csews13,csews14,8000000,0.085214
csews13,csews14,8000000,0.077531
csews13,csews14,32000000,0.321480
csews13,csews14,32000000,0.320385
csews13,csews14,32000000,0.302813
csews13,csews14,32000000,0.300201
csews13,csews14,32000000,0.386219
csews13,csews14,32000000,0.312310
csews13,csews14,32000000,0.311520
csews13,csews14,32000000,0.312767
csews13,csews14,32000000,0.310670
csews13,csews14,32000000,0.314961
csews13,csews14,64000000,0.648006
csews13,csews14,64000000,0.639494
csews13,csews14,64000000,0.714681
csews13,csews14,64000000,0.651874
csews13,csews14,64000000,0.625368
csews13,csews14,64000000,0.661322
csews13,csews14,64000000,0.636115
csews13,csews14,64000000,0.656674
csews13,csews14,64000000,0.614583
csews13,csews14,64000000,0.610781
csews13,csews14,128000000,1.236881
csews13,csews14,128000000,1.216526
csews13,csews14,128000000,1.218275
csews13,csews14,128000000,1.303190
csews13,csews14,128000000,1.218452
csews13,csews14,128000000,1.251893
csews13,csews14,128000000,1.277770
csews13,csews14,128000000,1.276547
csews13,csews14,128000000,1.281389
csews13,csews14,128000000,1.315607
csews10,csews26,1000,0.002079
csews10,csews26,1000,0.000336
csews10,csews26,1000,0.000333
csews10,csews26,1000,0.000314
csews10,csews26,1000,0.000317
csews10,csews26,1000,0.000309
csews10,csews26,1000,0.000239
csews10,csews26,1000,0.000329
csews10,csews26,1000,0.000332
csews10,csews26,1000,0.000333
csews10,csews26,100000,0.001776
csews10,csews26,100000,0.001416
csews10,csews26,100000,0.001772
csews10,csews26,100000,0.001435
csews10,csews26,100000,0.002084
csews10,csews26,100000,0.001867
csews10,csews26,100000,0.001963
csews10,csews26,100000,0.001422
csews10,csews26,100000,0.001825
csews10,csews26,100000,0.001499
csews10,csews26,1000000,0.014508
csews10,csews26,1000000,0.011216
csews10,csews26,1000000,0.010313
csews10,csews26,1000000,0.012132
csews10,csews26,1000000,0.009158
csews10,csews26,1000000,0.010898
csews10,csews26,1000000,0.013906
csews10,csews26,1000000,0.010388
csews10,csews26,1000000,0.010684
csews10,csews26,1000000,0.014399
csews10,csews26,8000000,0.077642
csews10,csews26,8000000,0.075712
csews10,csews26,8000000,0.070604
csews10,csews26,8000000,0.078869
csews10,csews26,8000000,0.069045
csews10,csews26,8000000,0.079156
csews10,csews26,8000000,0.070374
csews10,csews26,8000000,0.071970
csews10,csews26,8000000,0.086942
csews10,csews26,8000000,0.075998
csews10,csews26,32000000,0.283222
csews10,csews26,32000000,0.285489
csews10,csews26,32000000,0.354992
csews10,csews26,32000000,0.282160
csews10,csews26,32000000,0.276801
csews10,csews26,32000000,0.274896
csews10,csews26,32000000,0.350348
csews10,csews26,32000000,0.325141
csews10,csews26,32000000,0.306461
csews10,csews26,32000000,0.284913
csews10,csews26,64000000,0.656425
csews10,csews26,64000000,0.616974
csews10,csews26,64000000,0.602353
csews10,csews26,64000000,0.596513
csews10,csews26,64000000,0.670335
csews10,csews26,64000000,0.567259
csews10,csews26,64000000,0.648784
csews10,csews26,64000000,0.741565
csews10,csews26,64000000,0.677786
csews10,csews26,64000000,0.733267
csews10,csews26,128000000,1.311141
csews10,csews26,128000000,1.291241
csews10,csews26,128000000,1.122526
csews10,csews26,128000000,1.254656
csews10,csews26,128000000,1.294403
csews10,csews26,128000000,1.195414
csews10,csews26,128000000,1.187841
csews10,csews26,128000000,1.382922
csews10,csews26,128000000,1.340005
csews10,csews26,128000000,1.258986
csews20,csews49,1000,0.001384
csews20,csews49,1000,0.000215
csews20,csews49,1000,0.000246
csews20,csews49,1000,0.000252
csews20,csews49,1000,0.000262
csews20,csews49,1000,0.000247
csews20,csews49,1000,0.000213
csews20,csews49,1000,0.000226
csews20,csews49,1000,0.000224
csews20,csews49,1000,0.000273
csews20,csews49,100000,0.001669
csews20,csews49,100000,0.001413
csews20,csews49,100000,0.001471
csews20,csews49,100000,0.001385
csews20,csews49,100000,0.001399
csews20,csews49,100000,0.001404
csews20,csews49,100000,0.001692
csews20,csews49,100000,0.001652
csews20,csews49,100000,0.001415
csews20,csews49,100000,0.001404
csews20,csews49,1000000,0.009105
csews20,csews49,1000000,0.008928
csews20,csews49,1000000,0.009086
csews20,csews49,1000000,0.009104
csews20,csews49,1000000,0.010049
csews20,csews49,1000000,0.009220
csews20,csews49,1000000,0.009536
csews20,csews49,1000000,0.009238
csews20,csews49,1000000,0.009648
csews20,csews49,1000000,0.010311
csews20,csews49,8000000,0.070511
csews20,csews49,8000000,0.069409
csews20,csews49,8000000,0.069775
csews20,csews49,8000000,0.074296
csews20,csews49,8000000,0.071777
csews20,csews49,8000000,0.071901
csews20,csews49,8000000,0.069088
csews20,csews49,8000000,0.069370
csews20,csews49,8000000,0.069928
csews20,csews49,8000000,0.068933
csews20,csews49,32000000,0.284168
csews20,csews49,32000000,0.293263
csews20,csews49,32000000,0.278305
csews20,csews49,32000000,0.277012
csews20,csews49,32000000,0.298329
csews20,csews49,32000000,0.281484
csews20,csews49,32000000,0.283588
csews20,csews49,32000000,0.278988
csews20,csews49,32000000,0.282040
csews20,csews49,32000000,0.283959
csews20,csews49,64000000,0.570052
csews20,csews49,64000000,0.548587
csews20,csews49,64000000,0.596618
csews20,csews49,64000000,0.555897
csews20,csews49,64000000,0.570884
csews20,csews49,64000000,0.565876
csews20,csews49,64000000,0.565647
csews20,csews49,64000000,0.552952
csews20,csews49,64000000,0.570782
csews20,csews49,64000000,0.555712
csews20,csews49,128000000,1.126676
csews20,csews49,128000000,1.212804
csews20,csews49,128000000,1.249651
csews20,csews49,128000000,1.126182
csews20,csews49,128000000,1.154854
csews20,csews49,128000000,1.186263
csews20,csews49,128000000,1.155290
csews20,csews49,128000000,1.149313
csews20,csews49,128000000,1.116467
csews20,csews49,128000000,1.111214
