source,destination,size,time
csews33,csews31,1000,0.002431
csews33,csews31,1000,0.000284
csews33,csews31,1000,0.000364
csews33,csews31,1000,0.000369
csews33,csews31,1000,0.000300
csews33,csews31,1000,0.000285
csews33,csews31,1000,0.000359
csews33,csews31,1000,0.000268
csews33,csews31,1000,0.000310
csews33,csews31,1000,0.000333
csews33,csews31,100000,0.001415
csews33,csews31,100000,0.001722
csews33,csews31,100000,0.001429
csews33,csews31,100000,0.001586
csews33,csews31,100000,0.001437
csews33,csews31,100000,0.001410
csews33,csews31,100000,0.001469
csews33,csews31,100000,0.001485
csews33,csews31,100000,0.001465
csews33,csews31,100000,0.001421
csews33,csews31,1000000,0.009127
csews33,csews31,1000000,0.008882
csews33,csews31,1000000,0.009142
csews33,csews31,1000000,0.009095
csews33,csews31,1000000,0.009176
csews33,csews31,1000000,0.009677
csews33,csews31,1000000,0.009104
csews33,csews31,1000000,0.009002
csews33,csews31,1000000,0.009128
csews33,csews31,1000000,0.009093
csews33,csews31,8000000,0.068957
csews33,csews31,8000000,0.069024
csews33,csews31,8000000,0.069033
csews33,csews31,8000000,0.069046
csews33,csews31,8000000,0.069552
csews33,csews31,8000000,0.069076
csews33,csews31,8000000,0.069005
csews33,csews31,8000000,0.069025
csews33,csews31,8000000,0.069094
csews33,csews31,8000000,0.068857
csews33,csews31,32000000,0.273953
csews33,csews31,32000000,0.273840
csews33,csews31,32000000,0.274014
csews33,csews31,32000000,0.274087
csews33,csews31,32000000,0.273964
csews33,csews31,32000000,0.273799
csews33,csews31,32000000,0.273994
csews33,csews31,32000000,0.274016
csews33,csews31,32000000,0.274192
csews33,csews31,32000000,0.273972
csews33,csews31,64000000,0.547534
csews33,csews31,64000000,0.547338
csews33,csews31,64000000,0.547983
csews33,csews31,64000000,0.575809
csews33,csews31,64000000,0.548508
csews33,csews31,64000000,0.547508
csews33,csews31,64000000,0.550354
csews33,csews31,64000000,0.547573
csews33,csews31,64000000,0.553299
csews33,csews31,64000000,0.547591
csews33,csews31,128000000,1.094293
csews33,csews31,128000000,1.096401
csews33,csews31,128000000,1.108611
csews33,csews31,128000000,1.097809
csews33,csews31,128000000,1.094927
csews33,csews31,128000000,1.108017
csews33,csews31,128000000,1.099216
csews33,csews31,128000000,1.117363
csews33,csews31,128000000,1.109099
csews33,csews31,128000000,1.131830
csews44,csews49,1000,0.001315
csews44,csews49,1000,0.000504
csews44,csews49,1000,0.000233
csews44,csews49,1000,0.000184
csews44,csews49,1000,0.000188
csews44,csews49,1000,0.000193
csews44,csews49,1000,0.000187
csews44,csews49,1000,0.000180
csews44,csews49,1000,0.000161
csews44,csews49,1000,0.000185
csews44,csews49,100000,0.001545
csews44,csews49,100000,0.001119
csews44,csews49,100000,0.001365
csews44,csews49,100000,0.001138
csews44,csews49,100000,0.001103
csews44,csews49,100000,0.001387
csews44,csews49,100000,0.001162
csews44,csews49,100000,0.001131
csews44,csews49,100000,0.001120
csews44,csews49,100000,0.001099
csews44,csews49,1000000,0.010979
csews44,csews49,1000000,0.009136
csews44,csews49,1000000,0.009425
csews44,csews49,1000000,0.010332
csews44,csews49,1000000,0.009006
csews44,csews49,1000000,0.009601
csews44,csews49,1000000,0.010825
csews44,csews49,1000000,0.009508
csews44,csews49,1000000,0.010836
csews44,csews49,1000000,0.009863
csews44,csews49,8000000,0.069128
csews44,csews49,8000000,0.068720
csews44,csews49,8000000,0.069355
csews44,csews49,8000000,0.069271
csews44,csews49,8000000,0.069487
csews44,csews49,8000000,0.068801
csews44,csews49,8000000,0.070260
csews44,csews49,8000000,0.070470
csews44,csews49,8000000,0.068858
csews44,csews49,8000000,0.068770
csews44,csews49,32000000,0.274102
csews44,csews49,32000000,0.273885
csews44,csews49,32000000,0.273965
csews44,csews49,32000000,0.274289
csews44,csews49,32000000,0.276417
csews44,csews49,32000000,0.274513
csews44,csews49,32000000,0.274018
csews44,csews49,32000000,0.274096
csews44,csews49,32000000,0.273754
csews44,csews49,32000000,0.273685
csews44,csews49,64000000,0.550505
csews44,csews49,64000000,0.547129
csews44,csews49,64000000,0.547339
csews44,csews49,64000000,0.548326
csews44,csews49,64000000,0.547344
csews44,csews49,64000000,0.547515
csews44,csews49,64000000,0.547687
csews44,csews49,64000000,0.558893
csews44,csews49,64000000,0.548206
csews44,csews49,64000000,0.548803
csews44,csews49,128000000,1.094312
csews44,csews49,128000000,1.094060
csews44,csews49,128000000,1.093841
csews44,csews49,128000000,1.094169
csews44,csews49,128000000,1.093615
csews44,csews49,128000000,1.094287
csews44,csews49,128000000,1.093729
csews44,csews49,128000000,1.094089
csews44,csews49,128000000,1.093810
csews44,csews49,128000000,1.094673
csews44,csews17,1000,0.002058
csews44,csews17,1000,0.000270
csews44,csews17,1000,0.000344
csews44,csews17,1000,0.000327
csews44,csews17,1000,0.000294
csews44,csews17,1000,0.000267
csews44,csews17,1000,0.000280
csews44,csews17,1000,0.000345
csews44,csews17,1000,0.000224
csews44,csews17,1000,0.000334
csews44,csews17,100000,0.001619
csews44,csews17,100000,0.001455
csews44,csews17,100000,0.001657
csews44,csews17,100000,0.001463
csews44,csews17,100000,0.001764
csews44,csews17,100000,0.003037
csews44,csews17,100000,0.001445
csews44,csews17,100000,0.001452
csews44,csews17,100000,0.001413
csews44,csews17,100000,0.001609
csews44,csews17,1000000,0.009319
csews44,csews17,1000000,0.009791
csews44,csews17,1000000,0.009207
csews44,csews17,1000000,0.009726
csews44,csews17,1000000,0.009222
csews44,csews17,1000000,0.009217
csews44,csews17,1000000,0.009125
csews44,csews17,1000000,0.009211
csews44,csews17,1000000,0.009214
csews44,csews17,1000000,0.009122
csews44,csews17,8000000,0.069608
csews44,csews17,8000000,0.069370
csews44,csews17,8000000,0.069007
csews44,csews17,8000000,0.069373
csews44,csews17,8000000,0.069451
csews44,csews17,8000000,0.069254
csews44,csews17,8000000,0.069713
csews44,csews17,8000000,0.069114
csews44,csews17,8000000,0.068828
csews44,csews17,8000000,0.069770
csews44,csews17,32000000,0.273844
csews44,csews17,32000000,0.274001
csews44,csews17,32000000,0.274094
csews44,csews17,32000000,0.274095
csews44,csews17,32000000,0.274692
csews44,csews17,32000000,0.274118
csews44,csews17,32000000,0.273962
csews44,csews17,32000000,0.274114
csews44,csews17,32000000,0.288416
csews44,csews17,32000000,0.274634
csews44,csews17,64000000,0.547508
csews44,csews17,64000000,0.547323
csews44,csews17,64000000,0.547964
csews44,csews17,64000000,0.547382
csews44,csews17,64000000,0.547132
csews44,csews17,64000000,0.547841
csews44,csews17,64000000,0.547425
csews44,csews17,64000000,0.547948
csews44,csews17,64000000,0.547444
csews44,csews17,64000000,0.547506
csews44,csews17,128000000,1.105645
csews44,csews17,128000000,1.094204
csews44,csews17,128000000,1.105576
csews44,csews17,128000000,1.094595
csews44,csews17,128000000,1.094564
csews44,csews17,128000000,1.105047
csews44,csews17,128000000,1.094337
csews44,csews17,128000000,1.094104
csews44,csews17,128000000,1.094022
csews44,csews17,128000000,1.094062
